dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2014-09-02 20:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01005000000000000000,0,0,0,0,0.11045000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01396666666666666667,0,0.08363333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.11045000000000000000,0,0,0,0,0,0,0
2014-09-02 21:00:00-05,22,0.00020000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01151666666666666667,0,0,0,0,0.32146666666666666667,0,0,0,0,0.04575000000000000000,0,0,0,0,0,0,0,0,0,0.07715000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00498333333333333333,0,0,0,0,0.32146666666666666667,0,0,0,0,0,0,0
2014-09-02 21:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01005000000000000000,0,0,0,0,0.17433333333333333333,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.02451666666666666667,0,0.06636666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.07266666666666666667,0,0,0,0,0.17433333333333333333,0,0,0,0,0,0,0
2014-09-02 22:00:00-05,22,0.85206666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000066666666666666666667,0.00000000000000000000,0,0,0,0.06781666666666666667,0,0,0,0,1.2274333333333333,0,0,0,0,0.02516666666666666667,0,0,0,0,0,0,0,0,0,0.05533333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.15031666666666666667,0,0,0,0,1.2274333333333333,0,0,0,0,0,0,0
2014-09-02 22:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01061666666666666667,0,0,0,0,0.12658333333333333333,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.03000000000000000000,0,0.08406666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.12658333333333333333,0,0,0,0,0,0,0
2014-09-02 23:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01196666666666666667,0,0,0,0,0.11925000000000000000,0,0,0,0,0.00495000000000000000,0,0,0,0,0,0,0,0,0,0.02415000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.05655000000000000000,0,0,0,0,0.11925000000000000000,0,0,0,0,0,0,0
2014-09-02 23:00:00-05,48,0.52170000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.04658333333333333333,0,0,0,0,0.90570000000000000000,0,0,0,0,0,0,0,0,0.00998333333333333333,0.00000000000000000000,0,0,0,0,0.18061666666666666667,0,0.08211666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.06951666666666666667,0,0,0,0,0.90570000000000000000,0,0,0,0,0,0,0
2014-09-03 00:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01198333333333333333,0,0,0,0,0.05215000000000000000,0,0,0,0,0.00496666666666666667,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.05215000000000000000,0,0,0,0,0,0,0
2014-09-03 00:00:00-05,48,0.13635000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02285000000000000000,0,0,0,0,0.34426666666666666667,0,0,0,0,0,0,0,0,0.01671666666666666667,0.00000000000000000000,0,0,0,0,0.08771666666666666667,0,0.08296666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.34426666666666666667,0,0,0,0,0,0,0
2014-09-03 01:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01200000000000000000,0,0,0,0,0.05190000000000000000,0,0,0,0,0.00481666666666666667,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00373333333333333333,0,0,0,0,0.05190000000000000000,0,0,0,0,0,0,0
